Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Taylor Worth,Australia,Oceania,21,174,60,M,Archery,Men's Individual,,,,
Md Emdadul Haque Milon,Bangladesh,Asia,19,174,60,M,Archery,Men's Individual,,,,
Yavor Vasilev Hristov,Bulgaria,Europe,36,178,88,M,Archery,Men's Individual,,,,
Rene Philippe Kouassi,Côte d'Ivoire,Africa,32,190,77,M,Archery,Men's Individual,,,,
Crispin Duenas,Canada,Americas,26,170,81,M,Archery,Men's Individual,,,,
Daniel Felipe Pineda,Colombia,Americas,18,186,83,M,Archery,Men's Individual,,,,
Juan Carlos Stevens,Cuba,Americas,43,,,M,Archery,Men's Individual,,,,
Ahmed El-Nemr,Egypt,Africa,33,183,84,M,Archery,Men's Individual,,,,
Robert Elder,Fiji,Oceania,31,193,115,M,Archery,Men's Individual,,,,
Camilo Mayr,Germany,Europe,21,178,74,M,Archery,Men's Individual,,,,
Kar Wai Calvin Lee,"Hong Kong, China",Asia,29,172,68,M,Archery,Men's Individual,,,,
Denis Gankin,Kazakhstan,Asia,22,183,68,M,Archery,Men's Individual,,,,
Jeff Henckels,Luxembourg,Europe,27,184,77,M,Archery,Men's Individual,,,,
Jantsan Gantugs,Mongolia,Asia,40,174,75,M,Archery,Men's Individual,,,,
Nay Myo Aung,Myanmar,Asia,26,178,71,M,Archery,Men's Individual,,,,
Rick van der Ven,Netherlands,Europe,21,181,71,M,Archery,Men's Individual,,,,
Baard Nesteng,Norway,Europe,33,,,M,Archery,Men's Individual,,,,
Mark Javier,Philippines,Asia,30,173,53,M,Archery,Men's Individual,,,,
Rafal Dobrowolski,Poland,Europe,28,180,80,M,Archery,Men's Individual,,,,
Dan Olaru,Republic of Moldova,Europe,15,175,70,M,Archery,Men's Individual,,,,
Emanuele Guidi,San Marino,Europe,42,175,80,M,Archery,Men's Individual,,,,
Klemen Strajhar,Slovenia,Europe,17,190,92,M,Archery,Men's Individual,,,,
Elias Cuesta,Spain,Europe,27,177,76,M,Archery,Men's Individual,,,,
Axel Muller,Switzerland,Europe,20,176,70,M,Archery,Men's Individual,,,,
Witthaya Thamwong,Thailand,Asia,24,180,82,M,Archery,Men's Individual,,,,
Elias Malave,Venezuela,Americas,22,179,72,M,Archery,Men's Individual,,,,
Gael Prevost,France,Europe,18,193,75,M,Archery,"Men's Individual, Men's Team",,,,
Romain Girouille,France,Europe,24,193,75,M,Archery,"Men's Individual, Men's Team",,,,
Thomas Faucheron,France,Europe,22,175,72,M,Archery,"Men's Individual, Men's Team",,,,
Alan Wills,Great Britain,Europe,31,179,84,M,Archery,"Men's Individual, Men's Team",,,,
Larry Godfrey,Great Britain,Europe,36,178,84,M,Archery,"Men's Individual, Men's Team",,,,
Simon Terry,Great Britain,Europe,38,180,100,M,Archery,"Men's Individual, Men's Team",,,,
Jayanta Talukdar,India,Asia,26,,,M,Archery,"Men's Individual, Men's Team",,,,
Rahul Banerjee,India,Asia,25,,,M,Archery,"Men's Individual, Men's Team",,,,
Marco Galiazzo,Italy,Europe,29,178,98,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Mauro Nespoli,Italy,Europe,24,181,85,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Michele Frangilli,Italy,Europe,36,181,110,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Hideki Kikuchi,Japan,Asia,26,182,80,M,Archery,"Men's Individual, Men's Team",,,,
Takaharu Furukawa,Japan,Asia,27,174,81,M,Archery,"Men's Individual, Men's Team",YES,,1,
Yu Ishizu,Japan,Asia,25,170,66,M,Archery,"Men's Individual, Men's Team",,,,
Chu Sian Cheng,Malaysia,Asia,26,182,94,M,Archery,"Men's Individual, Men's Team",,,,
Haziq Kamaruddin,Malaysia,Asia,19,178,85,M,Archery,"Men's Individual, Men's Team",,,,
Khairul Anuar Mohamad,Malaysia,Asia,20,171,70,M,Archery,"Men's Individual, Men's Team",,,,
Juan Rene Serrano,Mexico,Americas,28,178,87,M,Archery,"Men's Individual, Men's Team",,,,
Luis Alvarez,Mexico,Americas,21,174,90,M,Archery,"Men's Individual, Men's Team",,,,
Luis Eduardo Velez,Mexico,Americas,26,180,81,M,Archery,"Men's Individual, Men's Team",,,,
Xiaoxiang Dai,People's Republic of China,Asia,21,178,70,M,Archery,"Men's Individual, Men's Team",YES,,,1
Yu Xing,People's Republic of China,Asia,21,188,77,M,Archery,"Men's Individual, Men's Team",,,,
Zhaowu Liu,People's Republic of China,Asia,23,179,65,M,Archery,"Men's Individual, Men's Team",,,,
Bubmin Kim,Republic of Korea,Asia,21,187,96,M,Archery,"Men's Individual, Men's Team",YES,,,0.33
Dong Hyun Im,Republic of Korea,Asia,26,184,100,M,Archery,"Men's Individual, Men's Team",YES,,,0.33
Jin Hyek Oh,Republic of Korea,Asia,30,182,100,M,Archery,"Men's Individual, Men's Team",YES,1,,0.33
Cheng-Pang Wang,Taipei (Chinese Taipei),Asia,25,178,86,M,Archery,"Men's Individual, Men's Team",,,,
Cheng-Wei Kuo,Taipei (Chinese Taipei),Asia,28,178,99,M,Archery,"Men's Individual, Men's Team",,,,
